10/05-20:06:53.464375, 1853, TCP, raw, 60, C2S, 192.168.181.142:47472, 192.168.181.1:119, 307:1:0, allow
10/05-20:06:54.762976, 2808, TCP, raw, 60, C2S, 192.168.181.142:48112, 192.168.181.1:44443, 303:1:0, allow
10/05-20:07:58.236811, 2997, TCP, raw, 40, C2S, 192.168.181.143:63505, 192.168.181.1:1025, 302:1:0, allow
10/05-20:09:38.697206, 8454, TCP, raw, 40, C2S, 192.168.181.144:37842, 192.168.181.1:5900, 302:1:0, allow
10/05-20:10:46.956468, 12717, TCP, raw, 40, C2S, 192.168.181.145:33607, 192.168.181.1:256, 302:1:0, allow
10/05-20:17:31.765601, 36234, TCP, raw, 44, C2S, 192.168.181.140:54746, 192.168.181.1:443, 302:1:0, allow
10/05-20:17:42.072306, 38567, TCP, raw, 44, C2S, 192.168.181.140:48678, 192.168.181.1:4444, 303:1:0, allow
10/05-20:18:21.422096, 39417, TCP, raw, 60, C2S, 192.168.181.142:38296, 192.168.181.1:3389, 302:1:0, allow
